Sl.No.,Grant Type,Dist. Name,Block name,DDO  Office,DDO Designation,DDO Name,Cluster code,DDO CODE,School code,"Name of the  PS/UPS/HS/CRC/MRC 
Grant Released",Grant Type,Schcat1,Enrol,Now proposed to release 100% amount,General component (2202-01-001-15-05-500-503),SC component (2202-01-789-15-05-500-503),ST component (2202-01-796-15-05-500-503)
106,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180601101,18050308008,36180601101,MPPS PANDILLA,Sports Grant,01_PS,27,5000,3600,850,550
107,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600402,18050308008,36180600402,MPPS MOHAMMADAPUR,Sports Grant,01_PS,61,4000,2880,680,440
108,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180601104,18050308008,36180601104,MPPS MALAPALLY,Sports Grant,01_PS,28,5000,3600,850,550
109,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600202,18050308008,36180600202,MPPS HUSNABAD,Sports Grant,01_PS,199,5000,3600,850,550
110,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180601103,18050308008,36180601103,MPPS BANJERUPALLY,Sports Grant,01_PS,19,5000,3600,850,550
111,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600204,18050308008,36180600204,MPPS ARAPELLY,Sports Grant,01_PS,59,4000,2880,680,440
112,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180601102,18050308008,36180601102,MPPS (STAGE) PANDILLA ,Sports Grant,01_PS,36,5000,3600,850,550
113,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600302,18050308008,36180600302,MPPS  MADATHA,Sports Grant,01_PS,28,5000,3600,850,550
114,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180601001,18050308008,36180601001,MPPS  KUCHANAPALLY,Sports Grant,01_PS,51,5000,3600,850,550
115,Sports Grant,SIDDIPET,HUSNABAD,ZPHS HUSNABAD,Gazetted Headmaster,"K.Vasudeva Reddy, M.Sc.,B.Ed",36180600222,18050308008,36180600222,ZPHS HUSNABAD,Sports Grant,03_HS,260,25000,18000,4250,2750
116,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS MIRZAPUR,Gazetted Headmaster,A.Venukumar,36180600704,18050308011,36180600704,ZPHS MIRZAPUR,Composit School Grant,03_HS,38,25000,18000,4250,2750
117,Sports Grant,SIDDIPET,HUSNABAD,ZPHS MIRZAPUR,Gazetted Headmaster,A.Venukumar,36180600704,18050308011,36180600704,ZPHS MIRZAPUR,Sports Grant,03_HS,38,25000,18000,4250,2750
118,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600203,MPPS KASTOORBA COLONY,Composit School Grant,01_PS,51,25000,18000,4250,2750
119,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600205,MPPS KASHI NAGAR,Composit School Grant,01_PS,21,10000,7200,1700,1100
120,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600234,MPUPS GANDHINAGAR,Composit School Grant,02_UPS,63,25000,18000,4250,2750
121,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600501,MPUPS NAGARAM,Composit School Grant,02_UPS,24,10000,7200,1700,1100
122,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600601,MPPS UMMAPUR,Composit School Grant,01_PS,20,10000,7200,1700,1100
123,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600602,MPUPS JILLALLAGADDA,Composit School Grant,02_UPS,14,10000,7200,1700,1100
124,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600701,MPPS POOLNAYAK THANDA,Composit School Grant,01_PS,31,25000,18000,4250,2750
125,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600702,MPPS BALLUNAYAK THANDA,Composit School Grant,01_PS,26,10000,7200,1700,1100
126,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600703,MPPS MIRZAPUR,Composit School Grant,01_PS,70,25000,18000,4250,2750
127,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600801,MPPS POTHARAM(S),Composit School Grant,01_PS,137,50000,36000,8500,5500
128,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,36180600901,MPPS THOTAPALLY,Composit School Grant,01_PS,37,25000,18000,4250,2750
129,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600802,18050308012,36180600802,ZPHS POTHARAM(S),Composit School Grant,03_HS,126,50000,36000,8500,5500
130,CRC Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",3618060001,18050308012,3618060001,ZPHS POTHARAM-S,CRC Grant,05_CRC,,43000,30960,7310,4730
131,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600501,18050308012,36180600501,MPUPS NAGARAM,Sports Grant,02_UPS,24,7000,5040,1190,770
132,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600602,18050308012,36180600602,MPUPS JILLALLAGADDA,Sports Grant,02_UPS,14,10000,7200,1700,1100
133,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600234,18050308012,36180600234,MPUPS GANDHINAGAR,Sports Grant,02_UPS,63,10000,7200,1700,1100
134,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600601,18050308012,36180600601,MPPS UMMAPUR,Sports Grant,01_PS,20,5000,3600,850,550
135,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600901,18050308012,36180600901,MPPS THOTAPALLY,Sports Grant,01_PS,38,5000,3600,850,550
136,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600801,18050308012,36180600801,MPPS POTHARAM(S),Sports Grant,01_PS,134,5000,3600,850,550
137,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600701,18050308012,36180600701,MPPS POOLNAYAK THANDA,Sports Grant,01_PS,31,5000,3600,850,550
138,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600703,18050308012,36180600703,MPPS MIRZAPUR,Sports Grant,01_PS,70,5000,3600,850,550
139,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600203,18050308012,36180600203,MPPS KASTOORBA COLONY,Sports Grant,01_PS,51,5000,3600,850,550
140,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600205,18050308012,36180600205,MPPS KASHI NAGAR,Sports Grant,01_PS,21,5000,3600,850,550
141,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600702,18050308012,36180600702,MPPS BALLUNAYAK THANDA,Sports Grant,01_PS,26,5000,3600,850,550
142,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTHARAM-S,Gazetted Headmaster,"B.Manila, M.A.,M.Ed",36180600802,18050308012,36180600802,ZPHS POTHARAM-S,Sports Grant,03_HS,126,25000,18000,4250,2750
143,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS POTLAPALLY,Gazetted Headmaster,N.Sandhya Sri,36180600102,18050308013,36180600102,ZPHS POTLAPALLY,Composit School Grant,03_HS,34,25000,18000,4250,2750
144,Sports Grant,SIDDIPET,HUSNABAD,ZPHS POTLAPALLY,Gazetted Headmaster,N.Sandhya Sri,36180600102,18050308013,36180600102,ZPHS POTLAPALLY,Sports Grant,03_HS,34,25000,18000,4250,2750
145,Composit School Grant,SIDDIPET,HUSNABAD,ZPHS MOHAMMADAPUR,Gazetted Headmaster,P.Mahender Reddy,36180600403,18050308034,36180600403,ZPHS MOHAMMADAPUR,Composit School Grant,03_HS,57,25000,18000,4250,2750
146,Sports Grant,SIDDIPET,HUSNABAD,ZPHS MOHAMMADAPUR,Gazetted Headmaster,P.Mahender Reddy,36180600403,18050308034,36180600403,ZPHS MOHAMMADAPUR,Sports Grant,03_HS,57,25000,18000,4250,2750
